DateTime;SensorID;Active
2010-05-02 00:04:08.871480;M006;1
2010-05-02 00:04:14.893770;M010;1
2010-05-02 00:04:17.188140;M010;0
2010-05-02 00:04:19.942750;M005;1
2010-05-02 00:04:23.895090;M005;0
2010-05-02 00:04:27.001380;M009;1
2010-05-02 00:04:29.309760;M009;0
2010-05-02 00:04:29.947240;M006;0
2010-05-02 00:04:35.558410;M006;1
2010-05-02 00:04:39.518910;M004;1
2010-05-02 00:04:43.940050;M006;0
2010-05-02 00:04:45.420010;M006;1
2010-05-02 00:04:51.485750;M006;0
2010-05-02 00:04:52.999740;M003;1
2010-05-02 00:04:57.780190;M003;0
2010-05-02 00:04:58.840620;M004;0
2010-05-02 00:05:03.660930;M006;1
2010-05-02 00:05:05.142590;M005;1
2010-05-02 00:05:08.276340;M010;1
2010-05-02 00:05:08.919520;M005;0
2010-05-02 00:05:11.235590;M005;1
2010-05-02 00:05:11.879590;M010;0
2010-05-02 00:05:14.609040;M006;0
2010-05-02 00:05:17.725290;M005;0
2010-05-02 00:05:59.269320;M005;1
2010-05-02 00:05:59.909800;M006;1
2010-05-02 00:06:05.115060;M005;0
2010-05-02 00:06:07.008450;M005;1
2010-05-02 00:06:10.163040;M005;0
2010-05-02 00:06:15.378390;M010;1
2010-05-02 00:06:16.837900;M010;0
2010-05-02 00:06:18.330400;M010;1
2010-05-02 00:06:18.961000;M006;0
2010-05-02 00:06:20.447920;M010;0
2010-05-02 00:06:30.275120;M006;1
2010-05-02 00:06:33.858100;M006;0
2010-05-02 00:06:53.739350;M010;1
2010-05-02 00:06:56.019130;M010;0
2010-05-02 00:07:05.399490;M006;1
2010-05-02 00:07:11.894690;M006;0
2010-05-02 00:08:46.949080;M005;1
2010-05-02 00:08:49.265520;M005;0
2010-05-02 00:08:50.309540;M006;1
2010-05-02 00:08:51.789390;M006;0
2010-05-02 00:09:05.407550;M006;1
2010-05-02 00:09:08.548300;M006;0
2010-05-02 00:09:43.378370;M006;1
2010-05-02 00:09:45.672310;M006;0
2010-05-02 00:09:52.093270;M010;1
2010-05-02 00:09:53.979270;M010;0
2010-05-02 00:09:54.617210;M006;1
2010-05-02 00:09:58.181660;M006;0
2010-05-02 00:10:23.441350;M006;1
2010-05-02 00:10:24.861410;M006;0
2010-05-02 00:11:28.928970;M009;1
2010-05-02 00:11:29.986000;M009;0
